Bin Id,Bin Id,dereplication,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,QC,final_quality_assessment,gtdbtk_classify,note,,,,
H41-bin258_1-contigs.fasta,H41-bin258_1-contigs,yes,k__Bacteria (UID2495),2993,147,91,1,146,0,0,0,0,98.9,0,0,98.9,high,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SXRF01;g__SXRF01;s__,.,,,,
H32-bin011_1-contigs.fasta,H32-bin011_1-contigs,yes,c__Gammaproteobacteria (UID4443),356,451,270,5,442,4,0,0,0,98.77,0.43,0,96.62,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Perlucidibaca;s__,.,,,,
H41R302um_2022HA_B0079.fasta,H41R302um_2022HA_B0079,yes,p__Proteobacteria (UID3887),1487,259,162,2,257,0,0,0,0,98.77,0,0,98.77,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__,.,,,,
H14R102um_2022_B0019.fasta,H14R102um_2022_B0019,yes,o__Burkholderiales (UID4000),193,427,214,16,395,16,0,0,0,98.66,1.8,56.25,89.66,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__,.,,,,
H52-bin057_1-contigs.fasta,H52-bin057_1-contigs,yes,k__Bacteria (UID3187),2258,181,110,3,178,0,0,0,0,98.58,0,0,98.58,high,d__Bacteria;p__Nitrospirota;c__RBG-16-64-22;o__RBG-16-64-22;f__RBG-16-64-22;g__RBG-16-64-22;s__,.,,,,
H51R302um_2022HA_B0017.fasta,H51R302um_2022HA_B0017,yes,p__Bacteroidetes (UID2605),350,316,210,4,308,3,1,0,0,98.41,1.61,33.33,90.36,high,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-965;g__GCA-2737665;s__,.,,,,
H51R302um_2022HA_B0066.fasta,H51R302um_2022HA_B0066,yes,c__Betaproteobacteria (UID3959),235,418,210,4,412,2,0,0,0,98.41,0.19,0,97.46,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__,.,,,,
H32R102um_2022HA_B0064.fasta,H32R102um_2022HA_B0064,yes,c__Gammaproteobacteria (UID4267),119,544,284,10,521,13,0,0,0,98.24,1.13,0,92.59,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Tenderiales;f__Tenderiaceae;g__Tenderia;s__,.,,,,
H53R102um_2022HA_B0005.fasta,H53R102um_2022HA_B0005,yes,k__Bacteria (UID209),5443,105,59,2,103,0,0,0,0,98.15,0,0,98.15,high,d__Bacteria;p__Lindowbacteria;c__2-12-FULL-62-27;o__2-12-FULL-62-27;f__2-12-FULL-62-27;g__2-12-FULL-62-27;s__,.,,,,
H41R201um_2022_B0028.fasta,H41R201um_2022_B0028,yes,p__Bacteroidetes (UID2605),350,316,210,5,310,1,0,0,0,98,0.48,0,95.6,high,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948;g__;s__,.,,,,
H53R202um_2022HA_B0102.fasta,H53R202um_2022HA_B0102,yes,k__Bacteria (UID2495),2993,143,89,2,140,1,0,0,0,97.75,1.12,0,92.15,high,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__FEN-1173;g__;s__,.,,,,
H41-bin277_1-contigs.fasta,H41-bin277_1-contigs,yes,k__Bacteria (UID3187),2258,181,110,4,175,2,0,0,0,97.73,0.96,50,92.93,high,d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__,.,,,,
H41R302um_2022HA_B0071.fasta,H41R302um_2022HA_B0071,yes,k__Bacteria (UID2565),2921,143,88,2,139,2,0,0,0,97.73,1.24,0,91.53,high,d__Bacteria;p__Planctomycetota;c__MHYJ01;o__;f__;g__;s__,.,,,,
H14R302um_2022_B0024.fasta,H14R302um_2022_B0024,yes,f__Rhodocyclaceae (UID3972),30,540,241,7,521,12,0,0,0,97.69,1.65,8.33,89.44,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__,.,,,,
H41R302um_2022HA_B0041.fasta,H41R302um_2022HA_B0041,yes,k__Bacteria (UID3187),2258,181,110,5,174,2,0,0,0,97.67,1.36,0,90.87,high,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__,.,,,,
H53R302um_2022HA_B0077.fasta,H53R302um_2022HA_B0077,yes,k__Bacteria (UID3187),2258,181,110,5,174,2,0,0,0,97.67,1.82,0,88.57,high,d__Bacteria;p__Nitrospirota;c__Nitrospiria_A;o__9FT-COMBO-42-15;f__9FT-COMBO-42-15;g__;s__,.,,,,
H51-bin301_1-contigs.fasta,H51-bin301_1-contigs,yes,k__Bacteria (UID2565),2921,143,88,3,138,2,0,0,0,97.66,2.27,0,86.31,high,d__Bacteria;p__Planctomycetota;c__MHYJ01;o__;f__;g__;s__,.,,,,
H51R202um_2022HA_B0058.fasta,H51R202um_2022HA_B0058,yes,k__Bacteria (UID2565),2921,143,88,3,137,3,0,0,0,97.66,2.84,0,83.46,high,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__UBA1845;g__SBAX01;s__,.,,,,
H14R202um_2022_B0056.fasta,H14R202um_2022_B0056,yes,o__Burkholderiales (UID4000),193,427,214,15,403,8,1,0,0,97.65,3.35,18.18,80.9,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__,.,,,,
H53R201um_2022_B0024.fasta,H53R201um_2022_B0024,yes,k__Bacteria (UID2495),2993,140,85,2,136,2,0,0,0,97.65,0.21,0,96.6,high,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__;s__,.,,,,
H14-bin014_1-contigs.fasta,H14-bin014_1-contigs,yes,c__Alphaproteobacteria (UID3422),26,529,308,24,496,9,0,0,0,97.46,1.89,0,88.01,high,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp001429025,.,,,,
H52R302um_2022HA_B0009.fasta,H52R302um_2022HA_B0009,yes,c__Deltaproteobacteria (UID3216),83,247,155,4,242,1,0,0,0,97.42,0.04,0,97.22,high,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__;s__,.,,,,
H14R102um_2022HA_B0052.fasta,H14R102um_2022HA_B0052,yes,c__Alphaproteobacteria (UID3422),26,529,308,10,518,1,0,0,0,97.29,0.32,0,95.69,high,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__UBA1942;s__,.,,,,
H51R302um_2022HA_B0083.fasta,H51R302um_2022HA_B0083,yes,c__Betaproteobacteria (UID3959),235,414,210,10,403,1,0,0,0,97.06,0.12,0,96.46,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__;s__,.,,,,
H52R302um_2022_B0059.fasta,H52R302um_2022_B0059,yes,k__Bacteria (UID3187),2258,181,110,6,173,2,0,0,0,97.05,0.96,50,92.25,high,d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__,.,,,,
H32-bin008_1-contigs.fasta,H32-bin008_1-contigs,yes,f__Comamonadaceae (UID4119),39,693,323,46,636,11,0,0,0,96.75,1.01,72.73,91.7,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis,.,,,,
H53R101um_2022_B0056.fasta,H53R101um_2022_B0056,yes,o__Burkholderiales (UID4000),193,427,214,17,408,2,0,0,0,96.64,0.26,50,95.34,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium sp001770775,.,,,,
H32-bin039_1-contigs.fasta,H32-bin039_1-contigs,yes,c__Gammaproteobacteria (UID4202),67,481,276,24,452,5,0,0,0,96.58,0.78,20,92.68,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__;s__,.,,,,
H51R101um_2022_B0031.fasta,H51R101um_2022_B0031,yes,o__Sphingomonadales (UID3310),26,569,293,19,536,14,0,0,0,96.58,2.83,21.43,82.43,high,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp002280675,.,,,,
H53R101um_2022_B0022.fasta,H53R101um_2022_B0022,yes,c__Betaproteobacteria (UID3971),223,424,211,14,405,5,0,0,0,96.47,0.85,20,92.22,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__,.,,,,
H14R202um_2022HA_B0023.fasta,H14R202um_2022HA_B0023,yes,k__Bacteria (UID3187),2258,181,111,4,176,1,0,0,0,96.4,0.9,0,91.9,high,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__,.,,,,
H32R201um_2022_B0003.fasta,H32R201um_2022_B0003,yes,k__Bacteria (UID3187),2258,181,110,6,173,2,0,0,0,96.36,1.36,50,89.56,high,d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__,.,,,,
H51R101um_2022_B0047.fasta,H51R101um_2022_B0047,yes,k__Bacteria (UID3187),2258,181,110,4,176,1,0,0,0,96.36,0.91,0,91.81,high,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9159;g__;s__,.,,,,
H52R202um_2022HA_B0109.fasta,H52R202um_2022HA_B0109,yes,c__Deltaproteobacteria (UID3216),83,247,155,6,240,1,0,0,0,96.13,0.65,0,92.88,high,d__Bacteria;p__Desulfobacterota;c__;o__;f__;g__;s__,.,,,,
H14R202um_2022HA_B0014.fasta,H14R202um_2022HA_B0014,yes,k__Bacteria (UID2495),2993,147,91,6,139,2,0,0,0,96.02,2.2,50,85.02,high,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA11236;f__UBA11236;g__UBA11236;s__,.,,,,
H51R202um_2022HA_B0068.fasta,H51R202um_2022HA_B0068,yes,o__Rhodospirillales (UID3754),63,336,201,13,320,2,1,0,0,96.02,0.91,0,91.47,high,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__;s__,.,,,,
H32-bin033_1-contigs.fasta,H32-bin033_1-contigs,yes,p__Euryarchaeota (UID3),148,188,125,6,178,4,0,0,0,96,0.92,0,91.4,high,d__Archaea;p__Thermoplasmatota;c__E2;o__UBA9212;f__GCA-002838935;g__;s__,.,,,,
H14R202um_2022HA_B0074.fasta,H14R202um_2022HA_B0074,yes,k__Bacteria (UID3187),2258,182,112,6,172,4,0,0,0,95.98,1.91,25,86.43,high,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Ga0074137;s__,.,,,,
H41R302um_2022HA_B0044.fasta,H41R302um_2022HA_B0044,yes,k__Bacteria (UID1452),924,161,108,5,155,1,0,0,0,95.83,0.93,0,91.18,high,d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__,.,,,,
H53R302um_2022HA_B0070.fasta,H53R302um_2022HA_B0070,yes,k__Bacteria (UID2570),433,273,183,9,262,2,0,0,0,95.79,1.09,0,90.34,high,d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA8401;g__;s__,.,,,,
H53R202um_2022HA_B0088.fasta,H53R202um_2022HA_B0088,yes,k__Bacteria (UID3187),2258,181,110,9,168,4,0,0,0,95.75,2.78,0,81.85,high,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__NS-4;g__SCTG01;s__,.,,,,
H51-bin060_1-contigs.fasta,H51-bin060_1-contigs,yes,o__Actinomycetales (UID1530),622,259,152,14,244,1,0,0,0,95.7,0.33,100,94.05,high,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes,.,,,,
H41-bin006_1-contigs.fasta,H41-bin006_1-contigs,yes,k__Bacteria (UID3187),2258,181,110,8,171,2,0,0,0,95.62,1.82,0,86.52,high,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__Palsa-1315 sp005116885,.,,,,
H43-bin172_1-contigs.fasta,H43-bin172_1-contigs,yes,k__Bacteria (UID2495),2993,143,89,5,134,4,0,0,0,95.51,1.43,0,88.36,high,d__Bacteria;p__FCPU426;c__;o__;f__;g__;s__,.,,,,
H51R202um_2022HA_B0008.fasta,H51R202um_2022HA_B0008,yes,k__Bacteria (UID3060),138,337,245,17,314,6,0,0,0,95.51,2.24,16.67,84.31,high,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__,.,,,,
H41R302um_2022HA_B0086.fasta,H41R302um_2022HA_B0086,yes,k__Bacteria (UID2565),2921,143,88,6,136,1,0,0,0,95.45,0.57,0,92.6,high,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__UBA1845;g__SBAX01;s__,.,,,,
H53R101um_2022_B0043.fasta,H53R101um_2022_B0043,yes,k__Bacteria (UID2565),2921,143,88,4,136,3,0,0,0,95.45,3.41,0,78.4,high,d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Scalinduaceae;g__Scalindua;s__,.,,,,
H53R202um_2022HA_B0106.fasta,H53R202um_2022HA_B0106,yes,k__Bacteria (UID2565),2921,143,88,4,137,2,0,0,0,95.45,1.7,0,86.95,high,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__UBA1845;g__SBAX01;s__,.,,,,
H53R202um_2022HA_B0024.fasta,H53R202um_2022HA_B0024,yes,k__Archaea (UID2),207,145,103,5,139,1,0,0,0,95.15,0.97,0,90.3,high,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum sp003569705,.,,,,
H14R302um_2022HA_B0059.fasta,H14R302um_2022HA_B0059,yes,o__Burkholderiales (UID4000),193,427,214,31,391,5,0,0,0,95.11,1.69,20,86.66,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2334;s__,.,,,,
H14-bin002_1-contigs.fasta,H14-bin002_1-contigs,yes,o__Sphingomonadales (UID3310),26,569,293,27,535,7,0,0,0,95.07,1.54,71.43,87.37,high,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium xenophagum,.,,,,
H32R102um_2022HA_B0039.fasta,H32R102um_2022HA_B0039,yes,k__Bacteria (UID3187),2258,181,110,7,171,3,0,0,0,95,2.73,0,81.35,high,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__;f__;g__;s__,.,,,,
H52R302um_2022_B0036.fasta,H52R302um_2022_B0036,yes,k__Bacteria (UID3187),2258,190,119,7,183,0,0,0,0,94.91,0,0,94.91,high,d__Bacteria;p__Desulfobacterota;c__MBNT15;o__MBNT15;f__MBNT15;g__;s__,.,,,,
H41R302um_2022HA_B0148.fasta,H41R302um_2022HA_B0148,yes,k__Bacteria (UID3187),2258,188,117,6,178,4,0,0,0,94.87,2.61,25,81.82,high,d__Bacteria;p__Acidobacteriota;c__Mor1;o__Gp22-AA2;f__Gp22-AA2;g__;s__,.,,,,
H43-bin077_1-contigs.fasta,H43-bin077_1-contigs,yes,f__Burkholderiaceae (UID4003),91,596,218,18,573,5,0,0,0,94.84,1.35,20,88.09,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus metallidurans,.,,,,
H32R302um_2022HA_B0148.fasta,H32R302um_2022HA_B0148,yes,c__Betaproteobacteria (UID3971),223,424,211,23,393,8,0,0,0,94.7,1.55,50,86.95,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__,.,,,,
H14R302um_2022_B0030.fasta,H14R302um_2022_B0030,yes,o__Burkholderiales (UID4001),108,570,250,35,534,1,0,0,0,94.69,0.4,0,92.69,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__,.,,,,
H32-bin143_1-contigs.fasta,H32-bin143_1-contigs,yes,k__Bacteria (UID3187),2258,187,116,10,173,4,0,0,0,94.61,3.45,0,77.36,high,d__Bacteria;p__CG2-30-53-67;c__CG2-30-53-67;o__CG2-30-53-67;f__CG2-30-53-67;g__CG2-30-53-67;s__,.,,,,
H41R102um_2022HA_B0128.fasta,H41R102um_2022HA_B0128,yes,c__Deltaproteobacteria (UID3216),83,247,155,17,224,6,0,0,0,94.59,2.64,0,81.39,high,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Archangium_A;s__,.,,,,
H41R101um_2022_B0018.fasta,H41R101um_2022_B0018,yes,p__Bacteroidetes (UID2605),350,316,210,12,300,4,0,0,0,94.52,1.35,0,87.77,high,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948;g__;s__,.,,,,
H41R101um_2022_B0017.fasta,H41R101um_2022_B0017,yes,k__Bacteria (UID2495),2993,143,89,5,137,1,0,0,0,94.38,1.12,0,88.78,high,d__Bacteria;p__Spirochaetota;c__;o__;f__;g__;s__,.,,,,
H41R102um_2022HA_B0106.fasta,H41R102um_2022HA_B0106,yes,k__Bacteria (UID2495),2993,143,89,5,137,1,0,0,0,94.38,1.12,0,88.78,high,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__,.,,,,
H41-bin166_1-contigs.fasta,H41-bin166_1-contigs,yes,c__Alphaproteobacteria (UID3305),564,349,230,23,323,3,0,0,0,94.16,1.3,100,87.66,high,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__,.,,,,
H52R302um_2022_B0002.fasta,H52R302um_2022_B0002,yes,k__Bacteria (UID3187),2258,181,110,14,165,2,0,0,0,94.09,1.36,0,87.29,high,d__Bacteria;p__Nitrospirota;c__Nitrospiria_A;o__HDB-SIOI813;f__HDB-SIOI813;g__RBG-16-43-11;s__,.,,,,
H51R202um_2022HA_B0007.fasta,H51R202um_2022HA_B0007,yes,k__Bacteria (UID2569),434,278,186,14,263,1,0,0,0,94.07,0.27,100,92.72,high,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__GCA-2746335;g__;s__,.,,,,
H14R202um_2022HA_B0015.fasta,H14R202um_2022HA_B0015,yes,o__Burkholderiales (UID4000),193,427,214,31,390,6,0,0,0,93.94,2.13,33.33,83.29,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__,.,,,,
H53R202um_2022HA_B0053.fasta,H53R202um_2022HA_B0053,yes,k__Bacteria (UID3187),2258,188,117,10,174,4,0,0,0,93.92,2.56,0,81.12,high,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__,.,,,,
H41R302um_2022HA_B0060.fasta,H41R302um_2022HA_B0060,yes,c__Betaproteobacteria (UID3959),235,419,211,25,388,6,0,0,0,93.86,1.13,16.67,88.21,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__RBG-16-58-11;g__RBG-16-58-11;s__,.,,,,
H14R202um_2022HA_B0066.fasta,H14R202um_2022HA_B0066,yes,c__Alphaproteobacteria (UID3305),564,349,230,16,332,1,0,0,0,93.85,0.22,0,92.75,high,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1573;s__,.,,,,
H41-bin048_1-contigs.fasta,H41-bin048_1-contigs,yes,c__Spirochaetia (UID2496),72,215,125,13,200,2,0,0,0,93.6,0.85,0,89.35,high,d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__;g__;s__,.,,,,
H53R101um_2022_B0007.fasta,H53R101um_2022_B0007,yes,o__Cytophagales (UID2936),47,454,336,30,413,10,1,0,0,93.59,3.12,23.08,77.99,high,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__,.,,,,
H41-bin279_1-contigs.fasta,H41-bin279_1-contigs,yes,c__Deltaproteobacteria (UID3216),83,247,155,11,235,1,0,0,0,93.55,0.65,0,90.3,high,d__Bacteria;p__Desulfobacterota;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__;s__,.,,,,
H41R102um_2022HA_B0137.fasta,H41R102um_2022HA_B0137,yes,c__Betaproteobacteria (UID3959),235,413,209,41,364,8,0,0,0,93.5,2.87,12.5,79.15,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__,.,,,,
H52-bin143_1-contigs.fasta,H52-bin143_1-contigs,yes,c__Deltaproteobacteria (UID3216),83,247,155,13,233,1,0,0,0,93.48,0.22,100,92.38,high,d__Bacteria;p__Desulfobacterota;c__GWC2-55-46;o__GWC2-55-46;f__SCQA01;g__;s__,.,,,,
H52R301um_2022_B0089.fasta,H52R301um_2022_B0089,yes,k__Bacteria (UID3187),2258,182,112,10,171,1,0,0,0,93.47,0.89,0,89.02,high,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia_A;o__UBA1018;f__UBA923;g__;s__,.,,,,
H51R302um_2022HA_B0074.fasta,H51R302um_2022HA_B0074,yes,c__Betaproteobacteria (UID3959),235,419,211,62,355,2,0,0,0,93.44,0.15,0,92.69,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__,.,,,,
H52-bin093_1-contigs.fasta,H52-bin093_1-contigs,yes,k__Archaea (UID2),207,149,107,9,139,1,0,0,0,93.22,0.93,0,88.57,high,d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__UBA10214;g__;s__,.,,,,
H41R302um_2022HA_B0031.fasta,H41R302um_2022HA_B0031,yes,k__Bacteria (UID2495),2993,143,89,9,134,0,0,0,0,93.19,0,0,93.19,high,d__Bacteria;p__Firestonebacteria;c__D2-FULL-39-29;o__D2-FULL-39-29;f__D2-FULL-39-29;g__D2-FULL-39-29;s__,.,,,,
H41R302um_2022HA_B0144.fasta,H41R302um_2022HA_B0144,yes,k__Bacteria (UID2565),2921,143,88,6,136,1,0,0,0,93.18,1.14,0,87.48,high,d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Scalinduaceae;g__Scalindua;s__,.,,,,
H53R202um_2022_B0001.fasta,H53R202um_2022_B0001,yes,k__Bacteria (UID3187),2258,181,110,12,165,4,0,0,0,93.12,3.18,0,77.22,high,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__,.,,,,
H53R202um_2022_B0036.fasta,H53R202um_2022_B0036,yes,k__Bacteria (UID3187),2258,181,110,12,165,4,0,0,0,93.12,3.18,0,77.22,high,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__,.,,,,
