scaffold,gene_position,start_position,end_position,strandedness,gene,type,genome
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,18,6987,7292,-1,Ribosomal protein L23 [PF00276.23],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,19,7285,7917,-1,Ribosomal protein L4/L1 family [PF00573.25],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,20,7921,8679,-1,Ribosomal protein L3 [PF00297.25],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,21,9023,9334,-1,,,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,22,9505,9876,-1,Elongation factor Tu C-terminal domain [PF03143.20],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,1,1,2406,1,DNA internalization-like protein competence protein ComEC/Rec2,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,2,2407,3729,-1,hypothetical protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,3,3729,3965,-1,SirA-like protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,4,4301,5815,1,hypothetical protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,5,5833,6792,1,hypothetical protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,6,6844,7713,1,signal transduction protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,7,8000,9247,1,integrase family protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,8,9344,9904,1,hypothetical protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,9,10363,10713,1,hypothetical protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,10,11030,11350,1,,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,11,11347,11658,1,hypothetical protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,12,11662,11889,1,,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,13,11886,12713,1,hypothetical protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1,14,12710,14410,1,hypothetical protein,,H14R101um_2022_vibrant_megahit_k141_218541_flag-0_multi-39.0148_len-102339_fragment_1
Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6,1,19,1029,-1,Phytanoyl-CoA dioxygenase (PhyH) [PF05721.16],,Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6
Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6,2,1026,1268,-1,,,Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6
Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6,3,1369,1965,-1,Cytidylyltransferase [PF02348.22],,Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6
Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6,4,1962,2120,-1,,,Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6
Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6,5,2239,2862,-1,Nucleotidyl transferase [PF00483.26],,Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6
Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6,6,2934,3356,-1,hypothetical protein,,Hain_H14_01um_R1_2019-genomad-spades_9945_length_3497_cov_6
